id,title,genre,description,rating
485,Rang De Basanti,Action,A hero rises to defeat his enemies,9.4
487,Swades,Sci-Fi,"A story of love, betrayal, and revenge",8.3
492,Dangal,Comedy,A man fights for justice in a corrupt society,9.1
493,Sholay,Adventure,A young man rises to power and avenges his family,8.6
494,Lagaan,Action,A man fights for justice in a corrupt society,9.3
495,Magadheera,Comedy,A man fights for justice in a corrupt society,8.5
496,Gully Boy,Sports,A man fights for justice in a corrupt society,7.6
497,RRR,Thriller,An epic tale of warriors and kingdoms,8.6
498,Rang De Basanti,Thriller,"A story of love, betrayal, and revenge",7.6
499,Sholay,Drama,A young man rises to power and avenges his family,8.0
500,Lagaan,Sci-Fi,A young boy discovers his hidden powers,8.8
502,RRR,Thriller,A romantic tale with unexpected twists,7.9
505,Dangal,Thriller,A man fights for justice in a corrupt society,9.5
506,Ala Vaikunthapurramuloo,Action,A romantic tale with unexpected twists,8.7
509,Drishyam,Adventure,An epic tale of warriors and kingdoms,7.0
510,Magadheera,Action,A man fights for justice in a corrupt society,9.3
512,Rang De Basanti,Comedy,A young boy discovers his hidden powers,7.4
513,Swades,Comedy,A man fights for justice in a corrupt society,8.9
515,Lagaan,Crime,A man fights for justice in a corrupt society,8.9
516,Gully Boy,Romance,A man fights for justice in a corrupt society,8.6
517,Jersey,Adventure,A young man rises to power and avenges his family,8.9
518,Swades,Drama,A romantic tale with unexpected twists,7.3
519,Arjun Reddy,Crime,A hero rises to defeat his enemies,8.6
520,Baahubali: The Beginning,Sci-Fi,A young boy discovers his hidden powers,7.6
523,Gully Boy,Drama,A man fights for justice in a corrupt society,9.0
524,Swades,Adventure,A man fights for justice in a corrupt society,8.6
525,Ala Vaikunthapurramuloo,Adventure,A man fights for justice in a corrupt society,7.3
528,Lagaan,Drama,An epic tale of warriors and kingdoms,9.1
529,Eega,Comedy,A man fights for justice in a corrupt society,7.5
530,PK,Comedy,A young boy discovers his hidden powers,7.3
531,3 Idiots,Sports,A young man rises to power and avenges his family,7.8
532,Lagaan,Drama,A hero rises to defeat his enemies,8.0
533,Sholay,Comedy,An epic tale of warriors and kingdoms,9.3
535,Sholay,Crime,"A story of love, betrayal, and revenge",8.9
537,Lagaan,Sci-Fi,An epic tale of warriors and kingdoms,8.7
539,Drishyam,Thriller,A romantic tale with unexpected twists,7.7
540,Pushpa: The Rise,Thriller,A man fights for justice in a corrupt society,7.3
542,Swades,Adventure,A team of explorers travels through space and time,8.4
543,Kabir Singh,Adventure,A hero rises to defeat his enemies,7.3
544,Magadheera,Sports,A hero rises to defeat his enemies,7.1
545,RRR,Sci-Fi,A man fights for justice in a corrupt society,8.4
546,Lagaan,Sports,A young boy discovers his hidden powers,7.9
547,Eega,Sports,A romantic tale with unexpected twists,9.1
548,Gully Boy,Drama,A hero rises to defeat his enemies,7.1
549,Eega,Action,A romantic tale with unexpected twists,8.9
550,Baahubali: The Beginning,Thriller,A man fights for justice in a corrupt society,8.7
552,Drishyam,Comedy,"A story of love, betrayal, and revenge",9.4
553,Rang De Basanti,Thriller,A hero rises to defeat his enemies,8.1
554,Drishyam,Mystery,An epic tale of warriors and kingdoms,8.6
555,Bharat Ane Nenu,Sci-Fi,A man fights for justice in a corrupt society,8.2
556,Eega,Drama,An epic tale of warriors and kingdoms,9.0
557,Gully Boy,Mystery,A young boy discovers his hidden powers,8.7
559,RRR,Action,A team of explorers travels through space and time,9.3
560,Pushpa: The Rise,Action,A team of explorers travels through space and time,8.9
561,Jersey,Sports,An epic tale of warriors and kingdoms,7.6
562,Pushpa: The Rise,Adventure,A man fights for justice in a corrupt society,8.7
565,Pushpa: The Rise,Adventure,A hero rises to defeat his enemies,8.7
567,Swades,Sports,A young boy discovers his hidden powers,7.6
568,PK,Sports,A romantic tale with unexpected twists,8.6
570,Magadheera,Sci-Fi,A hero rises to defeat his enemies,8.2
574,Jersey,Action,A young man rises to power and avenges his family,8.1
575,3 Idiots,Drama,A young man rises to power and avenges his family,8.2
576,Chak De India,Romance,A team of explorers travels through space and time,8.0
577,Pushpa: The Rise,Adventure,A romantic tale with unexpected twists,9.5
579,Chak De India,Crime,A hero rises to defeat his enemies,8.8
580,Arjun Reddy,Romance,A young man rises to power and avenges his family,7.1
581,Eega,Drama,A team of explorers travels through space and time,7.6
582,RRR,Mystery,A man fights for justice in a corrupt society,7.7
583,Dilwale Dulhania Le Jayenge,Sports,A romantic tale with unexpected twists,9.0
586,Taare Zameen Par,Romance,A young boy discovers his hidden powers,7.9
587,RRR,Sci-Fi,An epic tale of warriors and kingdoms,8.7
588,Bharat Ane Nenu,Thriller,A young man rises to power and avenges his family,8.0
589,Dangal,Sci-Fi,A young boy discovers his hidden powers,7.1
590,RRR,Drama,A team of explorers travels through space and time,9.2
591,Eega,Thriller,A young man rises to power and avenges his family,7.9
592,Arjun Reddy,Comedy,"A story of love, betrayal, and revenge",7.2
593,Pushpa: The Rise,Sci-Fi,A young man rises to power and avenges his family,8.4
594,Dangal,Sports,A hero rises to defeat his enemies,7.3
596,Ala Vaikunthapurramuloo,Sports,A young boy discovers his hidden powers,9.1
597,3 Idiots,Crime,A team of explorers travels through space and time,8.1
598,Arjun Reddy,Thriller,A young man rises to power and avenges his family,7.9
599,RRR,Thriller,A man fights for justice in a corrupt society,9.4
601,Gully Boy,Crime,A romantic tale with unexpected twists,9.2
602,Kabir Singh,Romance,A man fights for justice in a corrupt society,8.5
603,Kabir Singh,Action,An epic tale of warriors and kingdoms,8.7
605,Drishyam,Sports,A young man rises to power and avenges his family,9.4
606,Dilwale Dulhania Le Jayenge,Action,A young man rises to power and avenges his family,9.0
607,Taare Zameen Par,Action,"A story of love, betrayal, and revenge",8.6
608,Taare Zameen Par,Drama,A hero rises to defeat his enemies,8.2
611,PK,Adventure,A young boy discovers his hidden powers,7.4
612,Dilwale Dulhania Le Jayenge,Romance,A romantic tale with unexpected twists,7.7
613,3 Idiots,Crime,A man fights for justice in a corrupt society,7.2
614,Jersey,Action,A romantic tale with unexpected twists,9.1
615,Pushpa: The Rise,Romance,A hero rises to defeat his enemies,8.6
617,Sholay,Thriller,A team of explorers travels through space and time,9.0
620,Bharat Ane Nenu,Action,A romantic tale with unexpected twists,7.1
621,Jersey,Mystery,A young man rises to power and avenges his family,7.3
623,Chak De India,Thriller,A hero rises to defeat his enemies,7.2
624,Bharat Ane Nenu,Crime,A romantic tale with unexpected twists,8.4
627,PK,Sports,A young man rises to power and avenges his family,7.1
628,PK,Crime,An epic tale of warriors and kingdoms,8.2
629,Sholay,Mystery,A team of explorers travels through space and time,8.6
630,RRR,Drama,A romantic tale with unexpected twists,7.8
631,Swades,Crime,An epic tale of warriors and kingdoms,8.8
632,RRR,Mystery,A team of explorers travels through space and time,7.0
633,Baahubali: The Beginning,Mystery,A young boy discovers his hidden powers,7.1
634,Dangal,Action,A team of explorers travels through space and time,8.6
635,Rang De Basanti,Adventure,A hero rises to defeat his enemies,8.0
636,Baahubali: The Beginning,Comedy,A man fights for justice in a corrupt society,8.5
639,Ala Vaikunthapurramuloo,Crime,"A story of love, betrayal, and revenge",7.9
640,Gully Boy,Sci-Fi,A man fights for justice in a corrupt society,7.1
643,Lagaan,Action,A young man rises to power and avenges his family,8.9
644,Rang De Basanti,Romance,A young man rises to power and avenges his family,7.5
645,Dilwale Dulhania Le Jayenge,Comedy,A young boy discovers his hidden powers,7.3
647,Lagaan,Action,An epic tale of warriors and kingdoms,8.0
648,Chak De India,Romance,A man fights for justice in a corrupt society,7.9
649,Magadheera,Crime,A man fights for justice in a corrupt society,9.0
650,Swades,Crime,A young boy discovers his hidden powers,7.0
651,Ala Vaikunthapurramuloo,Drama,"A story of love, betrayal, and revenge",7.8
653,RRR,Adventure,A young man rises to power and avenges his family,7.4
654,Bharat Ane Nenu,Sci-Fi,A team of explorers travels through space and time,7.9
657,Sholay,Mystery,A man fights for justice in a corrupt society,9.2
659,Ala Vaikunthapurramuloo,Thriller,"A story of love, betrayal, and revenge",9.2
660,Jersey,Sci-Fi,A young man rises to power and avenges his family,9.5
661,Lagaan,Sports,A man fights for justice in a corrupt society,9.2
662,Sholay,Sci-Fi,A romantic tale with unexpected twists,7.8
663,Magadheera,Comedy,"A story of love, betrayal, and revenge",9.2
665,Gully Boy,Drama,A romantic tale with unexpected twists,7.7
666,Baahubali: The Beginning,Comedy,"A story of love, betrayal, and revenge",9.1
667,Arjun Reddy,Adventure,An epic tale of warriors and kingdoms,8.7
669,Bharat Ane Nenu,Sci-Fi,A young man rises to power and avenges his family,9.5
670,Pushpa: The Rise,Comedy,A team of explorers travels through space and time,9.1
671,Dangal,Comedy,"A story of love, betrayal, and revenge",8.1
672,Ala Vaikunthapurramuloo,Thriller,An epic tale of warriors and kingdoms,8.3
673,3 Idiots,Adventure,A man fights for justice in a corrupt society,7.2
674,Arjun Reddy,Sci-Fi,An epic tale of warriors and kingdoms,7.1
675,Dangal,Mystery,A man fights for justice in a corrupt society,9.5
677,Magadheera,Romance,A romantic tale with unexpected twists,8.3
678,Chak De India,Romance,"A story of love, betrayal, and revenge",7.6
679,Taare Zameen Par,Sports,A team of explorers travels through space and time,9.4
681,Jersey,Romance,A young boy discovers his hidden powers,9.2
687,Drishyam,Action,A young boy discovers his hidden powers,7.5
689,Dilwale Dulhania Le Jayenge,Mystery,A man fights for justice in a corrupt society,8.9
690,Taare Zameen Par,Comedy,An epic tale of warriors and kingdoms,7.4
691,Dangal,Sci-Fi,"A story of love, betrayal, and revenge",8.5
692,Ala Vaikunthapurramuloo,Mystery,A young boy discovers his hidden powers,9.1
693,Swades,Action,A young man rises to power and avenges his family,7.7
694,Sholay,Drama,A hero rises to defeat his enemies,7.4
696,Chak De India,Adventure,A man fights for justice in a corrupt society,8.8
698,Gully Boy,Thriller,A team of explorers travels through space and time,8.7
699,Eega,Sci-Fi,A team of explorers travels through space and time,8.3
701,Gully Boy,Adventure,A young man rises to power and avenges his family,7.8
702,Pushpa: The Rise,Mystery,A young man rises to power and avenges his family,8.9
703,Chak De India,Crime,A young man rises to power and avenges his family,7.9
704,Bharat Ane Nenu,Adventure,A team of explorers travels through space and time,8.0
706,Dangal,Comedy,A romantic tale with unexpected twists,8.4
707,Rang De Basanti,Drama,"A story of love, betrayal, and revenge",7.4
709,Rang De Basanti,Sci-Fi,A young man rises to power and avenges his family,8.0
711,3 Idiots,Sports,"A story of love, betrayal, and revenge",9.4
712,Kabir Singh,Sports,"A story of love, betrayal, and revenge",8.6
713,RRR,Romance,An epic tale of warriors and kingdoms,9.3
714,RRR,Drama,A hero rises to defeat his enemies,7.2
715,Bharat Ane Nenu,Comedy,"A story of love, betrayal, and revenge",8.9
719,Dilwale Dulhania Le Jayenge,Thriller,A young boy discovers his hidden powers,8.4
720,3 Idiots,Mystery,A hero rises to defeat his enemies,7.6
722,Dangal,Adventure,"A story of love, betrayal, and revenge",7.3
723,Sholay,Romance,"A story of love, betrayal, and revenge",9.0
724,PK,Romance,"A story of love, betrayal, and revenge",7.3
725,Jersey,Action,A man fights for justice in a corrupt society,8.4
726,Taare Zameen Par,Mystery,A young man rises to power and avenges his family,9.3
728,RRR,Crime,A man fights for justice in a corrupt society,8.8
729,Bharat Ane Nenu,Drama,A team of explorers travels through space and time,8.3
730,PK,Adventure,A team of explorers travels through space and time,7.4
732,Ala Vaikunthapurramuloo,Drama,A young man rises to power and avenges his family,9.1
733,Dilwale Dulhania Le Jayenge,Comedy,"A story of love, betrayal, and revenge",9.2
735,Dangal,Crime,A man fights for justice in a corrupt society,7.8
736,Swades,Action,An epic tale of warriors and kingdoms,8.5
737,Kabir Singh,Romance,A hero rises to defeat his enemies,8.0
739,Lagaan,Drama,A young boy discovers his hidden powers,7.7
740,Dilwale Dulhania Le Jayenge,Sci-Fi,A romantic tale with unexpected twists,8.5
742,Ala Vaikunthapurramuloo,Comedy,A romantic tale with unexpected twists,9.4
746,Kabir Singh,Adventure,A young man rises to power and avenges his family,8.9
747,Dangal,Sports,A team of explorers travels through space and time,8.7
748,Eega,Thriller,"A story of love, betrayal, and revenge",8.2
754,Sholay,Drama,An epic tale of warriors and kingdoms,8.6
755,Sholay,Action,A young boy discovers his hidden powers,7.9
756,Dilwale Dulhania Le Jayenge,Sports,A team of explorers travels through space and time,7.6
757,Sholay,Romance,A romantic tale with unexpected twists,9.3
759,Dilwale Dulhania Le Jayenge,Crime,A romantic tale with unexpected twists,8.7
760,Jersey,Action,A hero rises to defeat his enemies,8.4
761,Gully Boy,Thriller,A hero rises to defeat his enemies,7.6
763,Swades,Thriller,A young man rises to power and avenges his family,8.5
764,Bharat Ane Nenu,Thriller,"A story of love, betrayal, and revenge",7.6
770,3 Idiots,Romance,A young boy discovers his hidden powers,7.2
771,Drishyam,Comedy,An epic tale of warriors and kingdoms,7.4
775,Dilwale Dulhania Le Jayenge,Sports,"A story of love, betrayal, and revenge",8.4
777,Dangal,Thriller,An epic tale of warriors and kingdoms,8.1
780,Ala Vaikunthapurramuloo,Action,An epic tale of warriors and kingdoms,7.1
781,Chak De India,Action,A young boy discovers his hidden powers,7.4
782,Pushpa: The Rise,Comedy,A romantic tale with unexpected twists,7.6
783,3 Idiots,Mystery,A young boy discovers his hidden powers,8.3
784,Gully Boy,Mystery,An epic tale of warriors and kingdoms,8.4
786,RRR,Romance,"A story of love, betrayal, and revenge",8.0
787,Swades,Comedy,A hero rises to defeat his enemies,8.7
790,Lagaan,Sports,A young man rises to power and avenges his family,7.4
791,Rang De Basanti,Comedy,An epic tale of warriors and kingdoms,7.8
792,Kabir Singh,Sports,A hero rises to defeat his enemies,7.5
794,Swades,Crime,A hero rises to defeat his enemies,8.3
795,Pushpa: The Rise,Sports,A romantic tale with unexpected twists,7.8
796,Bharat Ane Nenu,Drama,A hero rises to defeat his enemies,8.0
798,Drishyam,Sci-Fi,A young man rises to power and avenges his family,8.4
802,Drishyam,Crime,A team of explorers travels through space and time,8.9
803,Bharat Ane Nenu,Crime,An epic tale of warriors and kingdoms,8.8
804,Arjun Reddy,Drama,A hero rises to defeat his enemies,7.6
805,Pushpa: The Rise,Action,A hero rises to defeat his enemies,7.2
806,Eega,Romance,A romantic tale with unexpected twists,8.7
807,Ala Vaikunthapurramuloo,Adventure,An epic tale of warriors and kingdoms,8.2
811,Eega,Adventure,A man fights for justice in a corrupt society,8.6
812,Dangal,Sports,A young man rises to power and avenges his family,9.0
813,Sholay,Mystery,A young boy discovers his hidden powers,7.8
815,Swades,Adventure,A romantic tale with unexpected twists,8.6
816,Taare Zameen Par,Action,A young man rises to power and avenges his family,8.3
817,Magadheera,Thriller,A hero rises to defeat his enemies,7.0
818,Jersey,Action,A young boy discovers his hidden powers,9.3
819,RRR,Adventure,A team of explorers travels through space and time,8.7
820,Baahubali: The Beginning,Mystery,"A story of love, betrayal, and revenge",9.4
821,Chak De India,Mystery,A young boy discovers his hidden powers,8.0
822,Dilwale Dulhania Le Jayenge,Sports,A young boy discovers his hidden powers,8.1
824,Eega,Sports,"A story of love, betrayal, and revenge",9.1
825,Lagaan,Crime,An epic tale of warriors and kingdoms,8.6
827,Sholay,Drama,A young boy discovers his hidden powers,8.0
828,3 Idiots,Drama,An epic tale of warriors and kingdoms,7.1
829,Magadheera,Action,A team of explorers travels through space and time,7.2
830,Eega,Mystery,A team of explorers travels through space and time,8.2
831,Ala Vaikunthapurramuloo,Romance,"A story of love, betrayal, and revenge",8.4
832,Kabir Singh,Mystery,An epic tale of warriors and kingdoms,9.5
835,Arjun Reddy,Drama,An epic tale of warriors and kingdoms,7.7
838,Baahubali: The Beginning,Thriller,A romantic tale with unexpected twists,7.9
839,RRR,Action,A man fights for justice in a corrupt society,7.8
840,Ala Vaikunthapurramuloo,Crime,A team of explorers travels through space and time,8.7
842,Arjun Reddy,Sci-Fi,A young man rises to power and avenges his family,8.9
845,Taare Zameen Par,Sports,A romantic tale with unexpected twists,7.8
847,Gully Boy,Thriller,A romantic tale with unexpected twists,8.0
848,Drishyam,Crime,A young boy discovers his hidden powers,8.8
849,Chak De India,Drama,"A story of love, betrayal, and revenge",8.6
850,Gully Boy,Adventure,An epic tale of warriors and kingdoms,8.8
851,RRR,Mystery,"A story of love, betrayal, and revenge",8.5
852,Swades,Comedy,An epic tale of warriors and kingdoms,8.6
853,PK,Comedy,"A story of love, betrayal, and revenge",8.8
854,Gully Boy,Sci-Fi,A young man rises to power and avenges his family,7.2
856,Chak De India,Mystery,A team of explorers travels through space and time,8.9
859,Kabir Singh,Crime,A man fights for justice in a corrupt society,7.9
862,Taare Zameen Par,Romance,"A story of love, betrayal, and revenge",8.4
864,Arjun Reddy,Sci-Fi,A hero rises to defeat his enemies,7.4
865,Bharat Ane Nenu,Comedy,A team of explorers travels through space and time,7.3
866,Jersey,Action,"A story of love, betrayal, and revenge",7.1
867,Jersey,Mystery,A hero rises to defeat his enemies,7.5
869,Kabir Singh,Mystery,A team of explorers travels through space and time,7.4
870,Gully Boy,Drama,"A story of love, betrayal, and revenge",8.4
872,Chak De India,Adventure,An epic tale of warriors and kingdoms,8.0
873,Dilwale Dulhania Le Jayenge,Drama,A young boy discovers his hidden powers,7.4
876,Jersey,Sports,A romantic tale with unexpected twists,7.9
879,Jersey,Comedy,"A story of love, betrayal, and revenge",7.8
881,Pushpa: The Rise,Thriller,A young man rises to power and avenges his family,9.2
884,Dangal,Adventure,A young man rises to power and avenges his family,9.5
886,Lagaan,Mystery,An epic tale of warriors and kingdoms,7.4
888,Jersey,Comedy,A young boy discovers his hidden powers,8.7
889,Gully Boy,Adventure,A hero rises to defeat his enemies,8.2
890,Sholay,Mystery,A young man rises to power and avenges his family,9.3
891,Chak De India,Thriller,A young man rises to power and avenges his family,8.0
892,Dilwale Dulhania Le Jayenge,Drama,A team of explorers travels through space and time,8.6
896,3 Idiots,Comedy,A team of explorers travels through space and time,7.6
898,Ala Vaikunthapurramuloo,Adventure,A young man rises to power and avenges his family,7.9
900,Rang De Basanti,Mystery,A team of explorers travels through space and time,8.8
902,Gully Boy,Comedy,A young man rises to power and avenges his family,8.1
903,Drishyam,Drama,A team of explorers travels through space and time,7.6
904,Eega,Action,"A story of love, betrayal, and revenge",8.3
905,Kabir Singh,Drama,A young man rises to power and avenges his family,8.7
906,Lagaan,Sports,"A story of love, betrayal, and revenge",7.4
907,Kabir Singh,Drama,A man fights for justice in a corrupt society,8.9
909,Drishyam,Mystery,A young boy discovers his hidden powers,8.4
910,Jersey,Romance,A hero rises to defeat his enemies,9.3
912,Baahubali: The Beginning,Mystery,A hero rises to defeat his enemies,7.0
914,Magadheera,Drama,A man fights for justice in a corrupt society,7.1
916,Bharat Ane Nenu,Drama,A romantic tale with unexpected twists,9.0
917,Dangal,Sci-Fi,A romantic tale with unexpected twists,8.0
918,Pushpa: The Rise,Mystery,A romantic tale with unexpected twists,8.1
920,Ala Vaikunthapurramuloo,Comedy,A young boy discovers his hidden powers,8.8
921,Taare Zameen Par,Drama,"A story of love, betrayal, and revenge",9.3
922,Kabir Singh,Thriller,A team of explorers travels through space and time,7.4
924,Rang De Basanti,Mystery,A young man rises to power and avenges his family,9.2
925,Kabir Singh,Crime,A hero rises to defeat his enemies,7.3
926,Rang De Basanti,Romance,A team of explorers travels through space and time,8.2
929,Gully Boy,Sci-Fi,A romantic tale with unexpected twists,8.9
930,RRR,Comedy,A romantic tale with unexpected twists,7.1
931,Baahubali: The Beginning,Drama,A young boy discovers his hidden powers,7.7
933,Jersey,Crime,"A story of love, betrayal, and revenge",9.4
934,Kabir Singh,Action,A romantic tale with unexpected twists,7.6
937,Dilwale Dulhania Le Jayenge,Drama,A romantic tale with unexpected twists,7.2
938,Eega,Sports,A young man rises to power and avenges his family,8.4
940,Chak De India,Action,A romantic tale with unexpected twists,7.8
941,Gully Boy,Drama,A team of explorers travels through space and time,7.2
942,Jersey,Sci-Fi,A hero rises to defeat his enemies,7.3
943,Rang De Basanti,Romance,An epic tale of warriors and kingdoms,7.8
945,Kabir Singh,Sci-Fi,A hero rises to defeat his enemies,8.1
946,Pushpa: The Rise,Action,A man fights for justice in a corrupt society,8.6
947,Bharat Ane Nenu,Sports,A man fights for justice in a corrupt society,7.9
949,Pushpa: The Rise,Comedy,A young boy discovers his hidden powers,8.0
951,Kabir Singh,Crime,"A story of love, betrayal, and revenge",7.0
952,PK,Mystery,A young man rises to power and avenges his family,7.8
955,Lagaan,Drama,A young man rises to power and avenges his family,7.4
957,PK,Crime,A romantic tale with unexpected twists,8.7
958,Bharat Ane Nenu,Drama,"A story of love, betrayal, and revenge",8.9
959,Eega,Crime,"A story of love, betrayal, and revenge",8.2
960,PK,Sci-Fi,A romantic tale with unexpected twists,9.3
962,Arjun Reddy,Crime,An epic tale of warriors and kingdoms,8.8
963,Dangal,Action,A hero rises to defeat his enemies,8.7
964,Lagaan,Sci-Fi,A man fights for justice in a corrupt society,8.8
966,Arjun Reddy,Thriller,An epic tale of warriors and kingdoms,7.8
967,Dilwale Dulhania Le Jayenge,Action,A team of explorers travels through space and time,8.2
969,Dangal,Drama,A team of explorers travels through space and time,8.6
970,Gully Boy,Sports,A romantic tale with unexpected twists,9.4
972,Dilwale Dulhania Le Jayenge,Thriller,A hero rises to defeat his enemies,7.9
974,Arjun Reddy,Sci-Fi,A team of explorers travels through space and time,8.9
981,PK,Mystery,A team of explorers travels through space and time,7.4
983,Drishyam,Romance,A young boy discovers his hidden powers,8.0
984,Arjun Reddy,Sports,A romantic tale with unexpected twists,7.0
987,PK,Sci-Fi,An epic tale of warriors and kingdoms,9.0
988,3 Idiots,Adventure,An epic tale of warriors and kingdoms,8.5
989,Rang De Basanti,Action,A romantic tale with unexpected twists,7.9
991,3 Idiots,Action,"A story of love, betrayal, and revenge",8.6
993,Sholay,Comedy,A man fights for justice in a corrupt society,8.0
994,Magadheera,Adventure,An epic tale of warriors and kingdoms,8.3
995,PK,Adventure,"A story of love, betrayal, and revenge",8.8
996,Arjun Reddy,Comedy,A man fights for justice in a corrupt society,7.2
997,Swades,Sports,"A story of love, betrayal, and revenge",7.9
998,Lagaan,Romance,A hero rises to defeat his enemies,8.1
999,Rang De Basanti,Sports,A man fights for justice in a corrupt society,8.8
1004,Rang De Basanti,Comedy,"A story of love, betrayal, and revenge",8.4
1006,3 Idiots,Comedy,A man fights for justice in a corrupt society,7.0
1008,Pushpa: The Rise,Crime,A young boy discovers his hidden powers,8.4
1010,Dangal,Romance,A man fights for justice in a corrupt society,8.1
1012,3 Idiots,Comedy,A hero rises to defeat his enemies,9.2
1013,Arjun Reddy,Comedy,A hero rises to defeat his enemies,8.2
1014,Dilwale Dulhania Le Jayenge,Romance,A young man rises to power and avenges his family,7.2
1015,Baahubali: The Beginning,Sci-Fi,A hero rises to defeat his enemies,9.3
1016,Gully Boy,Romance,A romantic tale with unexpected twists,8.3
1017,Taare Zameen Par,Crime,A young boy discovers his hidden powers,8.5
1018,Rang De Basanti,Mystery,A young boy discovers his hidden powers,7.4
1019,Jersey,Drama,A young man rises to power and avenges his family,7.8
1020,Taare Zameen Par,Adventure,A young man rises to power and avenges his family,9.4
1026,Rang De Basanti,Comedy,A romantic tale with unexpected twists,9.1
1029,Chak De India,Thriller,An epic tale of warriors and kingdoms,7.5
1031,RRR,Romance,A man fights for justice in a corrupt society,9.2
1032,Dangal,Drama,An epic tale of warriors and kingdoms,8.7
1033,Swades,Sci-Fi,A man fights for justice in a corrupt society,8.7
1039,Kabir Singh,Crime,A team of explorers travels through space and time,9.5
1040,Baahubali: The Beginning,Sports,A young man rises to power and avenges his family,8.3
1041,Dangal,Sports,A romantic tale with unexpected twists,8.0
1042,Taare Zameen Par,Comedy,A young boy discovers his hidden powers,8.8
1043,Pushpa: The Rise,Drama,A romantic tale with unexpected twists,8.9
1044,Ala Vaikunthapurramuloo,Romance,A team of explorers travels through space and time,7.4
1045,Lagaan,Sports,A team of explorers travels through space and time,7.4
1047,PK,Sports,A hero rises to defeat his enemies,9.5
1052,Baahubali: The Beginning,Sci-Fi,A man fights for justice in a corrupt society,7.7
1053,Dangal,Mystery,An epic tale of warriors and kingdoms,7.8
1054,Pushpa: The Rise,Drama,An epic tale of warriors and kingdoms,8.7
1055,Rang De Basanti,Mystery,A hero rises to defeat his enemies,7.2
1056,Magadheera,Action,A young man rises to power and avenges his family,9.3
1058,Pushpa: The Rise,Drama,A young boy discovers his hidden powers,7.9
1059,Drishyam,Sports,"A story of love, betrayal, and revenge",7.2
1065,Pushpa: The Rise,Adventure,A young man rises to power and avenges his family,9.4
1067,Lagaan,Adventure,A young man rises to power and avenges his family,8.9
1069,Arjun Reddy,Adventure,A man fights for justice in a corrupt society,7.7
1071,Chak De India,Mystery,An epic tale of warriors and kingdoms,8.9
1074,Dilwale Dulhania Le Jayenge,Romance,A man fights for justice in a corrupt society,9.3
1077,Drishyam,Crime,A hero rises to defeat his enemies,7.2
1078,Drishyam,Mystery,"A story of love, betrayal, and revenge",9.1
1079,Jersey,Thriller,A romantic tale with unexpected twists,7.1
1082,Pushpa: The Rise,Sports,A young boy discovers his hidden powers,7.1
1083,PK,Sci-Fi,A young man rises to power and avenges his family,8.7
1084,Baahubali: The Beginning,Crime,A hero rises to defeat his enemies,8.3
1085,3 Idiots,Sci-Fi,A hero rises to defeat his enemies,8.8
1086,Eega,Mystery,A young man rises to power and avenges his family,9.3
1088,Magadheera,Romance,An epic tale of warriors and kingdoms,8.0
1089,Dangal,Crime,A young man rises to power and avenges his family,7.7
1090,Jersey,Action,A team of explorers travels through space and time,8.9
1091,RRR,Thriller,A young boy discovers his hidden powers,7.4
1093,Chak De India,Comedy,A hero rises to defeat his enemies,7.4
1096,Dilwale Dulhania Le Jayenge,Crime,A young boy discovers his hidden powers,9.2
1099,RRR,Drama,A young man rises to power and avenges his family,8.3
1100,Magadheera,Adventure,A man fights for justice in a corrupt society,7.9
1102,Kabir Singh,Drama,A romantic tale with unexpected twists,7.7
1103,Bharat Ane Nenu,Comedy,A young boy discovers his hidden powers,8.5
1106,Taare Zameen Par,Thriller,"A story of love, betrayal, and revenge",7.0
1109,Pushpa: The Rise,Sports,A hero rises to defeat his enemies,8.1
1110,Chak De India,Drama,A hero rises to defeat his enemies,7.2
1113,Ala Vaikunthapurramuloo,Drama,A man fights for justice in a corrupt society,7.1
1114,Baahubali: The Beginning,Adventure,A hero rises to defeat his enemies,9.0
1117,Pushpa: The Rise,Romance,"A story of love, betrayal, and revenge",8.2
1120,Pushpa: The Rise,Crime,"A story of love, betrayal, and revenge",7.1
1122,Lagaan,Comedy,A young boy discovers his hidden powers,8.2
1123,Drishyam,Sci-Fi,"A story of love, betrayal, and revenge",8.4
1126,Sholay,Sports,A romantic tale with unexpected twists,7.5
1128,Dilwale Dulhania Le Jayenge,Action,A romantic tale with unexpected twists,9.1
1133,RRR,Adventure,A young boy discovers his hidden powers,8.0
1134,Gully Boy,Sci-Fi,A hero rises to defeat his enemies,7.5
1138,Dangal,Sports,A young boy discovers his hidden powers,8.2
1143,PK,Sports,An epic tale of warriors and kingdoms,8.8
1144,Lagaan,Comedy,A young man rises to power and avenges his family,9.2
1145,Kabir Singh,Adventure,A young boy discovers his hidden powers,7.8
1146,Arjun Reddy,Sports,A young man rises to power and avenges his family,7.6
1149,Ala Vaikunthapurramuloo,Mystery,"A story of love, betrayal, and revenge",7.5
1150,Magadheera,Comedy,A team of explorers travels through space and time,7.3
1152,Bharat Ane Nenu,Sci-Fi,A hero rises to defeat his enemies,7.7
1155,Sholay,Drama,A man fights for justice in a corrupt society,7.9
1156,RRR,Crime,"A story of love, betrayal, and revenge",9.0
1160,PK,Mystery,An epic tale of warriors and kingdoms,7.6
1162,PK,Crime,A young boy discovers his hidden powers,8.5
1163,Sholay,Crime,A young man rises to power and avenges his family,7.5
1164,PK,Adventure,An epic tale of warriors and kingdoms,8.5
